clean_url,locale,file,gsc_clicks,gsc_impressions,gsc_position,reason,keep_mode
/ar/australia-visa-for-russian-citizens,ar,www2/ar/australia-visa-for-russian-citizens.html,2,124,9.85,"Historique GSC : 2 clics, 124 impressions",KEEP
/ar/austria-visa-for-indonesian-citizens,ar,www2/ar/austria-visa-for-indonesian-citizens.html,2,46,8.26,"Historique GSC : 2 clics, 46 impressions",KEEP
/ar/belgium-visa-processing-time,ar,www2/ar/belgium-visa-processing-time.html,5,732,8.93,"Historique GSC : 5 clics, 732 impressions",KEEP
/ar/colombia-visa-processing-time,ar,www2/ar/colombia-visa-processing-time.html,6,126,10.83,"Historique GSC : 6 clics, 126 impressions",KEEP
/ar/croatia-visa-for-nigerian-citizens,ar,www2/ar/croatia-visa-for-nigerian-citizens.html,2,37,4.49,"Historique GSC : 2 clics, 37 impressions",KEEP
/ar/expat-guide-argentina,ar,www2/ar/expat-guide-argentina.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-brazil,ar,www2/ar/expat-guide-brazil.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-cambodia,ar,www2/ar/expat-guide-cambodia.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-colombia,ar,www2/ar/expat-guide-colombia.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-costa-rica,ar,www2/ar/expat-guide-costa-rica.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-croatia,ar,www2/ar/expat-guide-croatia.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-cyprus,ar,www2/ar/expat-guide-cyprus.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-ecuador,ar,www2/ar/expat-guide-ecuador.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-estonia,ar,www2/ar/expat-guide-estonia.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-france,ar,www2/ar/expat-guide-france.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-georgia,ar,www2/ar/expat-guide-georgia.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-germany,ar,www2/ar/expat-guide-germany.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-greece,ar,www2/ar/expat-guide-greece.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-indonesia,ar,www2/ar/expat-guide-indonesia.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-italy,ar,www2/ar/expat-guide-italy.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-japan,ar,www2/ar/expat-guide-japan.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-laos,ar,www2/ar/expat-guide-laos.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-malaysia,ar,www2/ar/expat-guide-malaysia.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-malta,ar,www2/ar/expat-guide-malta.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-mauritius,ar,www2/ar/expat-guide-mauritius.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-mexico,ar,www2/ar/expat-guide-mexico.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-panama,ar,www2/ar/expat-guide-panama.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-paraguay,ar,www2/ar/expat-guide-paraguay.html,6,464,7.08,"Historique GSC : 6 clics, 464 impressions",KEEP
/ar/expat-guide-philippines,ar,www2/ar/expat-guide-philippines.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-portugal,ar,www2/ar/expat-guide-portugal.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-singapore,ar,www2/ar/expat-guide-singapore.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-south-korea,ar,www2/ar/expat-guide-south-korea.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-spain,ar,www2/ar/expat-guide-spain.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-taiwan,ar,www2/ar/expat-guide-taiwan.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-thailand,ar,www2/ar/expat-guide-thailand.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-uae,ar,www2/ar/expat-guide-uae.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/expat-guide-vietnam,ar,www2/ar/expat-guide-vietnam.html,0,0,0,Hub destination ou guide expat : socle du corpus,KEEP
/ar/france-visa-for-singaporean-citizens,ar,www2/ar/france-visa-for-singaporean-citizens.html,3,664,9.86,"Historique GSC : 3 clics, 664 impressions",KEEP
/ar/greece-visa-for-chinese-citizens,ar,www2/ar/greece-visa-for-chinese-citizens.html,4,624,7.58,"Historique GSC : 4 clics, 624 impressions",KEEP
/ar/greece-visa-for-russian-citizens,ar,www2/ar/greece-visa-for-russian-citizens.html,2,83,8.31,"Historique GSC : 2 clics, 83 impressions",KEEP
/ar/greece-visa-for-turkish-citizens,ar,www2/ar/greece-visa-for-turkish-citizens.html,4,1156,8.38,"Historique GSC : 4 clics, 1156 impressions",KEEP
/ar/greece-visa-processing-time,ar,www2/ar/greece-visa-processing-time.html,2,238,11.13,"Historique GSC : 2 clics, 238 impressions",KEEP
/ar/hong-kong-visa-fees,ar,www2/ar/hong-kong-visa-fees.html,1,819,14.83,"Historique GSC : 1 clics, 819 impressions",KEEP
/ar/hong-kong-visa-for-brazilian-citizens,ar,www2/ar/hong-kong-visa-for-brazilian-citizens.html,2,223,8.69,"Historique GSC : 2 clics, 223 impressions",KEEP
/ar/hungary-visa-for-indonesian-citizens,ar,www2/ar/hungary-visa-for-indonesian-citizens.html,2,20,5.2,"Historique GSC : 2 clics, 20 impressions",KEEP
/ar/hungary-visa-for-nigerian-citizens,ar,www2/ar/hungary-visa-for-nigerian-citizens.html,3,124,6.68,"Historique GSC : 3 clics, 124 impressions",KEEP
/ar/italy-visa-for-russian-citizens,ar,www2/ar/italy-visa-for-russian-citizens.html,1,680,7.07,"Historique GSC : 1 clics, 680 impressions",KEEP
/ar/jordan-visa-extension,ar,www2/ar/jordan-visa-extension.html,3,180,7.48,"Historique GSC : 3 clics, 180 impressions",KEEP
/ar/jordan-visa-for-french-citizens,ar,www2/ar/jordan-visa-for-french-citizens.html,3,57,6.04,"Historique GSC : 3 clics, 57 impressions",KEEP
/ar/jordan-visa-for-indonesian-citizens,ar,www2/ar/jordan-visa-for-indonesian-citizens.html,2,122,11.66,"Historique GSC : 2 clics, 122 impressions",KEEP
/ar/jordan-visa-for-russian-citizens,ar,www2/ar/jordan-visa-for-russian-citizens.html,4,81,6.49,"Historique GSC : 4 clics, 81 impressions",KEEP
