locale,urls,indexed,clicks_90d,impressions_90d,avg_position,pages_with_clicks,pages_with_impressions,translation_quality_issues,recommendation
en,1082,1081,2201,523902,12.2,302,302,0,KEEP_FULL
fr,1011,1009,542,36341,11.9,125,125,2,KEEP_NO_EXPANSION
es,1063,1061,159,18129,13.5,52,52,360,KEEP_NO_EXPANSION
pt,1066,1064,126,8072,11.2,42,42,2,KEEP_NO_EXPANSION
zh,1122,1121,240,18815,15.9,73,73,2,KEEP_NO_EXPANSION
th,1110,1109,88,8985,16.4,30,30,28,HUMAN_REVIEW
ru,1107,1106,275,23820,12.3,78,78,2,KEEP_NO_EXPANSION
ar,1112,1111,134,14215,10.5,44,44,99,KEEP_NO_EXPANSION
ja,1142,1141,217,10841,11.5,57,57,2,KEEP_NO_EXPANSION
ko,1134,1133,287,17617,11.2,76,76,34,KEEP_NO_EXPANSION
