locale,file,url,destination,nationality,indexable,canonical,word_count_main,unique_content_ratio,similarity_to_same_destination_pages,historical_clicks,historical_impressions,historical_best_position,external_backlinks_if_known,visa_rule_specific_to_nationality,unique_search_intent,recommended_action,target_url,reason
en,www2/en/cambodia-visa-for-argentinian-citizens.html,/en/cambodia-visa-for-argentinian-citizens,cambodia,argentinian,yes,https://www.evisa-card.com/en/cambodia-visa-for-argentinian-citizens,371,0.1188,0.8812,0,0,0.0,,no,no,MERGE_301,/en/visa-cambodia,"Contenu tres proche du groupe (unicite 11.9%), 0 impression"
en,www2/en/cambodia-visa-for-brazilian-citizens.html,/en/cambodia-visa-for-brazilian-citizens,cambodia,brazilian,yes,https://www.evisa-card.com/en/cambodia-visa-for-brazilian-citizens,371,0.1188,0.8812,0,0,0.0,,no,no,MERGE_301,/en/visa-cambodia,"Contenu tres proche du groupe (unicite 11.9%), 0 impression"
en,www2/en/cambodia-visa-for-canadian-citizens.html,/en/cambodia-visa-for-canadian-citizens,cambodia,canadian,yes,https://www.evisa-card.com/en/cambodia-visa-for-canadian-citizens,371,0.1188,0.8812,0,0,0.0,,no,no,MERGE_301,/en/visa-cambodia,"Contenu tres proche du groupe (unicite 11.9%), 0 impression"
en,www2/en/cambodia-visa-for-chinese-citizens.html,/en/cambodia-visa-for-chinese-citizens,cambodia,chinese,yes,https://www.evisa-card.com/en/cambodia-visa-for-chinese-citizens,385,0.1199,0.8801,0,0,0.0,,no,no,MERGE_301,/en/visa-cambodia,"Contenu tres proche du groupe (unicite 12.0%), 0 impression"
en,www2/en/cambodia-visa-for-french-citizens.html,/en/cambodia-visa-for-french-citizens,cambodia,french,yes,https://www.evisa-card.com/en/cambodia-visa-for-french-citizens,371,0.1188,0.8812,0,0,0.0,,no,no,MERGE_301,/en/visa-cambodia,"Contenu tres proche du groupe (unicite 11.9%), 0 impression"
en,www2/en/cambodia-visa-for-german-citizens.html,/en/cambodia-visa-for-german-citizens,cambodia,german,yes,https://www.evisa-card.com/en/cambodia-visa-for-german-citizens,371,0.1188,0.8812,0,0,0.0,,no,no,MERGE_301,/en/visa-cambodia,"Contenu tres proche du groupe (unicite 11.9%), 0 impression"
en,www2/en/cambodia-visa-for-indian-citizens.html,/en/cambodia-visa-for-indian-citizens,cambodia,indian,yes,https://www.evisa-card.com/en/cambodia-visa-for-indian-citizens,377,0.1047,0.8953,0,0,0.0,,no,no,MERGE_301,/en/visa-cambodia,"Contenu tres proche du groupe (unicite 10.5%), 0 impression"
en,www2/en/cambodia-visa-for-japanese-citizens.html,/en/cambodia-visa-for-japanese-citizens,cambodia,japanese,yes,https://www.evisa-card.com/en/cambodia-visa-for-japanese-citizens,371,0.1188,0.8812,0,0,0.0,,no,no,MERGE_301,/en/visa-cambodia,"Contenu tres proche du groupe (unicite 11.9%), 0 impression"
en,www2/en/cambodia-visa-for-korean-citizens.html,/en/cambodia-visa-for-korean-citizens,cambodia,korean,yes,https://www.evisa-card.com/en/cambodia-visa-for-korean-citizens,371,0.1188,0.8812,0,0,0.0,,no,no,MERGE_301,/en/visa-cambodia,"Contenu tres proche du groupe (unicite 11.9%), 0 impression"
en,www2/en/cambodia-visa-for-mexican-citizens.html,/en/cambodia-visa-for-mexican-citizens,cambodia,mexican,yes,https://www.evisa-card.com/en/cambodia-visa-for-mexican-citizens,371,0.1188,0.8812,0,0,0.0,,no,no,MERGE_301,/en/visa-cambodia,"Contenu tres proche du groupe (unicite 11.9%), 0 impression"
en,www2/en/cambodia-visa-for-nigerian-citizens.html,/en/cambodia-visa-for-nigerian-citizens,cambodia,nigerian,yes,https://www.evisa-card.com/en/cambodia-visa-for-nigerian-citizens,385,0.1196,0.8804,0,0,0.0,,no,no,MERGE_301,/en/visa-cambodia,"Contenu tres proche du groupe (unicite 12.0%), 0 impression"
en,www2/en/cambodia-visa-for-russian-citizens.html,/en/cambodia-visa-for-russian-citizens,cambodia,russian,yes,https://www.evisa-card.com/en/cambodia-visa-for-russian-citizens,371,0.1188,0.8812,0,0,0.0,,no,no,MERGE_301,/en/visa-cambodia,"Contenu tres proche du groupe (unicite 11.9%), 0 impression"
