locale,file,url,destination,nationality,indexable,canonical,word_count_main,unique_content_ratio,similarity_to_same_destination_pages,historical_clicks,historical_impressions,historical_best_position,external_backlinks_if_known,visa_rule_specific_to_nationality,unique_search_intent,recommended_action,target_url,reason
en,www2/en/argentina-visa-for-argentinian-citizens.html,/en/argentina-visa-for-argentinian-citizens,argentina,argentinian,yes,https://www.evisa-card.com/en/argentina-visa-for-argentinian-citizens,146,0.2836,0.7164,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 28.4%, 0 impressions : non tranchable automatiquement"
en,www2/en/argentina-visa-for-australian-citizens.html,/en/argentina-visa-for-australian-citizens,argentina,australian,yes,https://www.evisa-card.com/en/argentina-visa-for-australian-citizens,225,0.2077,0.7923,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 20.8%, 0 impressions : non tranchable automatiquement"
en,www2/en/argentina-visa-for-brazilian-citizens.html,/en/argentina-visa-for-brazilian-citizens,argentina,brazilian,yes,https://www.evisa-card.com/en/argentina-visa-for-brazilian-citizens,223,0.2,0.8,0,0,0.0,,no,no,MERGE_301,/en/visa-argentina,"Contenu tres proche du groupe (unicite 20.0%), 0 impression"
en,www2/en/argentina-visa-for-canadian-citizens.html,/en/argentina-visa-for-canadian-citizens,argentina,canadian,yes,https://www.evisa-card.com/en/argentina-visa-for-canadian-citizens,225,0.2077,0.7923,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 20.8%, 0 impressions : non tranchable automatiquement"
en,www2/en/argentina-visa-for-chinese-citizens.html,/en/argentina-visa-for-chinese-citizens,argentina,chinese,yes,https://www.evisa-card.com/en/argentina-visa-for-chinese-citizens,227,0.2077,0.7923,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 20.8%, 0 impressions : non tranchable automatiquement"
en,www2/en/argentina-visa-for-french-citizens.html,/en/argentina-visa-for-french-citizens,argentina,french,yes,https://www.evisa-card.com/en/argentina-visa-for-french-citizens,227,0.2077,0.7923,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 20.8%, 0 impressions : non tranchable automatiquement"
en,www2/en/argentina-visa-for-german-citizens.html,/en/argentina-visa-for-german-citizens,argentina,german,yes,https://www.evisa-card.com/en/argentina-visa-for-german-citizens,225,0.2077,0.7923,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 20.8%, 0 impressions : non tranchable automatiquement"
en,www2/en/argentina-visa-for-indian-citizens.html,/en/argentina-visa-for-indian-citizens,argentina,indian,yes,https://www.evisa-card.com/en/argentina-visa-for-indian-citizens,301,0.3415,0.6585,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (evisa|visa_req) different du regime majoritaire (visa_free|evisa|visa_req)
en,www2/en/argentina-visa-for-indonesian-citizens.html,/en/argentina-visa-for-indonesian-citizens,argentina,indonesian,yes,https://www.evisa-card.com/en/argentina-visa-for-indonesian-citizens,418,0.4097,0.5903,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (evisa|visa_req) different du regime majoritaire (visa_free|evisa|visa_req)
en,www2/en/argentina-visa-for-japanese-citizens.html,/en/argentina-visa-for-japanese-citizens,argentina,japanese,yes,https://www.evisa-card.com/en/argentina-visa-for-japanese-citizens,227,0.2077,0.7923,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 20.8%, 0 impressions : non tranchable automatiquement"
en,www2/en/argentina-visa-for-korean-citizens.html,/en/argentina-visa-for-korean-citizens,argentina,korean,yes,https://www.evisa-card.com/en/argentina-visa-for-korean-citizens,225,0.2077,0.7923,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 20.8%, 0 impressions : non tranchable automatiquement"
en,www2/en/argentina-visa-for-mexican-citizens.html,/en/argentina-visa-for-mexican-citizens,argentina,mexican,yes,https://www.evisa-card.com/en/argentina-visa-for-mexican-citizens,225,0.2077,0.7923,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 20.8%, 0 impressions : non tranchable automatiquement"
en,www2/en/argentina-visa-for-nigerian-citizens.html,/en/argentina-visa-for-nigerian-citizens,argentina,nigerian,yes,https://www.evisa-card.com/en/argentina-visa-for-nigerian-citizens,301,0.3415,0.6585,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (evisa|visa_req) different du regime majoritaire (visa_free|evisa|visa_req)
en,www2/en/argentina-visa-for-philippine-citizens.html,/en/argentina-visa-for-philippine-citizens,argentina,philippine,yes,https://www.evisa-card.com/en/argentina-visa-for-philippine-citizens,418,0.4148,0.5852,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (evisa|visa_req) different du regime majoritaire (visa_free|evisa|visa_req)
en,www2/en/argentina-visa-for-russian-citizens.html,/en/argentina-visa-for-russian-citizens,argentina,russian,yes,https://www.evisa-card.com/en/argentina-visa-for-russian-citizens,337,0.3248,0.6752,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 32.5%, 0 impressions : non tranchable automatiquement"
en,www2/en/argentina-visa-for-singaporean-citizens.html,/en/argentina-visa-for-singaporean-citizens,argentina,singaporean,yes,https://www.evisa-card.com/en/argentina-visa-for-singaporean-citizens,225,0.2077,0.7923,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 20.8%, 0 impressions : non tranchable automatiquement"
en,www2/en/argentina-visa-for-south-african-citizens.html,/en/argentina-visa-for-south-african-citizens,argentina,south-african,yes,https://www.evisa-card.com/en/argentina-visa-for-south-african-citizens,429,0.4097,0.5903,2,87,8.2,,yes,yes,KEEP,,Trafic reel : 2 clic(s)
en,www2/en/argentina-visa-for-turkish-citizens.html,/en/argentina-visa-for-turkish-citizens,argentina,turkish,yes,https://www.evisa-card.com/en/argentina-visa-for-turkish-citizens,339,0.3248,0.6752,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 32.5%, 0 impressions : non tranchable automatiquement"
en,www2/en/argentina-visa-for-uk-citizens.html,/en/argentina-visa-for-uk-citizens,argentina,uk,yes,https://www.evisa-card.com/en/argentina-visa-for-uk-citizens,339,0.3438,0.6562,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 34.4%, 0 impressions : non tranchable automatiquement"
en,www2/en/argentina-visa-for-us-citizens.html,/en/argentina-visa-for-us-citizens,argentina,us,yes,https://www.evisa-card.com/en/argentina-visa-for-us-citizens,225,0.2394,0.7606,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 23.9%, 0 impressions : non tranchable automatiquement"
en,www2/en/australia-visa-for-argentinian-citizens.html,/en/australia-visa-for-argentinian-citizens,australia,argentinian,yes,https://www.evisa-card.com/en/australia-visa-for-argentinian-citizens,369,0.3603,0.6397,3,133,12.4,,no,yes,KEEP,,Trafic reel : 3 clic(s)
en,www2/en/australia-visa-for-brazilian-citizens.html,/en/australia-visa-for-brazilian-citizens,australia,brazilian,yes,https://www.evisa-card.com/en/australia-visa-for-brazilian-citizens,369,0.3603,0.6397,2,360,9.6,,no,yes,KEEP,,Trafic reel : 2 clic(s)
en,www2/en/australia-visa-for-canadian-citizens.html,/en/australia-visa-for-canadian-citizens,australia,canadian,yes,https://www.evisa-card.com/en/australia-visa-for-canadian-citizens,299,0.2778,0.7222,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 27.8%, 0 impressions : non tranchable automatiquement"
en,www2/en/australia-visa-for-chinese-citizens.html,/en/australia-visa-for-chinese-citizens,australia,chinese,yes,https://www.evisa-card.com/en/australia-visa-for-chinese-citizens,231,0.2444,0.7556,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 24.4%, 0 impressions : non tranchable automatiquement"
en,www2/en/australia-visa-for-french-citizens.html,/en/australia-visa-for-french-citizens,australia,french,yes,https://www.evisa-card.com/en/australia-visa-for-french-citizens,232,0.276,0.724,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 27.6%, 0 impressions : non tranchable automatiquement"
