url,locale,regles
/ar/austria-visa-for-mexican-citizens,ar,reg_ar x3
/ar/belgium-visa-for-argentinian-citizens,ar,tarif_eur7 x1
/ar/belgium-visa-for-australian-citizens,ar,tarif_eur7 x1
/ar/belgium-visa-for-brazilian-citizens,ar,tarif_eur7 x1
/ar/belgium-visa-for-canadian-citizens,ar,tarif_eur7 x1
/ar/belgium-visa-for-japanese-citizens,ar,tarif_eur7 x1
/ar/belgium-visa-for-korean-citizens,ar,tarif_eur7 x1
/ar/belgium-visa-for-mexican-citizens,ar,tarif_eur7 x1
/ar/belgium-visa-for-singaporean-citizens,ar,tarif_eur7 x1
/ar/belgium-visa-for-uk-citizens,ar,tarif_eur7 x1
/ar/belgium-visa-for-us-citizens,ar,tarif_eur7 x1
/ar/greece-visa-for-australian-citizens,ar,tarif_eur7 x1
/ar/greece-visa-for-brazilian-citizens,ar,tarif_eur7 x1
/ar/greece-visa-for-japanese-citizens,ar,tarif_eur7 x1
/ar/greece-visa-for-korean-citizens,ar,tarif_eur7 x1
/ar/greece-visa-for-mexican-citizens,ar,tarif_eur7 x1
/ar/greece-visa-for-singaporean-citizens,ar,tarif_eur7 x1
/ar/netherlands-visa-for-argentinian-citizens,ar,tarif_eur7 x1
/ar/netherlands-visa-for-australian-citizens,ar,tarif_eur7 x1
/ar/netherlands-visa-for-brazilian-citizens,ar,tarif_eur7 x1
/ar/netherlands-visa-for-canadian-citizens,ar,tarif_eur7 x1
/ar/netherlands-visa-for-japanese-citizens,ar,tarif_eur7 x1
/ar/netherlands-visa-for-korean-citizens,ar,tarif_eur7 x1
/ar/netherlands-visa-for-mexican-citizens,ar,tarif_eur7 x1
/ar/netherlands-visa-for-singaporean-citizens,ar,tarif_eur7 x1
/ar/netherlands-visa-for-uk-citizens,ar,tarif_eur7 x1
/ar/netherlands-visa-for-us-citizens,ar,tarif_eur7 x1
/ar/norway-visa-for-argentinian-citizens,ar,tarif_eur7 x1
/ar/norway-visa-for-australian-citizens,ar,tarif_eur7 x1
/ar/norway-visa-for-brazilian-citizens,ar,tarif_eur7 x1
/ar/norway-visa-for-canadian-citizens,ar,tarif_eur7 x1
/ar/norway-visa-for-japanese-citizens,ar,tarif_eur7 x1
/ar/norway-visa-for-korean-citizens,ar,tarif_eur7 x1
/ar/norway-visa-for-mexican-citizens,ar,tarif_eur7 x1
